user_id,user_name,user_location,user_friends_count,created_time,retweet_count,favourite_count,original_text
4157304796,Live in the Light,"Slough, South East",1756,2020-03-09 16:44:08,2,2,"""If you are looking for a cruelty-free and ethical fashion accessory for mum, the cross-body wristlet clutch from Live in the Light is an excellent choice"" - thanks @UKTrave11er for including us in your #mothersdaygift guide - 
https://t.co/LJa4BPEE8Z
#vegan #veganfashion https://t.co/BX5Vtkdq3r"
3558908194,Nia Owen 🐉🌳🐶❤,North wales,981,2020-03-09 16:43:44,22,0,"Just when you think you can't #love them any more😂🐶🐈💖

A #dog shares a quiet moment with his best friend🤗@Dodo

https://t.co/4RhrIZh6Vp

If in doubt, be #vegan to each other💖

@Ivy_MiddletonUK @RobRobbEdwards @PeterEgan6 @Protect_Wldlife @zbleumoon @Veganella_ @Animals1st"
751876722673451008,ֆքɛǟӄɨռɢօʄաɨȶƈɦաǟռɖֆ,"C, E, E",1708,2020-03-09 16:43:19,26,0,"My exclusive dessert range has finally dropped! The Lemon Bombe is a decandent zestilicious lemon dessert that will leave you feeling like you've been treated! 
https://t.co/ee9st8730u #Leeds #vegan #daiyfree #glutenfree #SBS @smallbizutd1 #uksmallbizrt https://t.co/cBFt01ithc"
3558908194,Nia Owen 🐉🌳🐶❤,North wales,981,2020-03-09 16:43:14,64,0,"#Meat-eaters finance #animal suffering🐂
#Animals repay this by shortening their lives!
This metaphorically sums up the relationship🤯
If #AnimalAbuse sickens you, or you care about your #health, go #vegan💖
@RickyGervais @Ivy_Middleton @Protect_Wldlife @RobRobbEdwards @zbleumoon https://t.co/uruSliXmnZ"
1074695094442184704,🌯,"Cebu , Gifu",323,2020-03-09 16:43:04,23,0,"Randomly made a one-pot smoked 🥥 Mac &amp; Cheese #Vegan 🌱 &amp; it was delicious. 
Topped with avocado and scallions 😩😋 visit https://t.co/52jv2eaOdL for the recipe 🙏🏾 https://t.co/IrMlsEuH2Q"
60182386,Gabriella Taylor,NYC/Budapest,96,2020-03-09 16:42:57,61,0,"""The greatest privilege that comes with freedom of speech
is using your voice for those who don't have one"" @RickyGervais🙊📢
Our silence condemns #animals to suffer in silence too💔
Go #vegan💖 
@Protect_Wldlife @PeterEgan6 @Ivy_MiddletonUK @RobRobbEdwards @zbleumoon @Veganella_ https://t.co/v2qDMSevT8"
3230648830,VeganAdvocate Ⓥ,Earth (until we destroy it),4899,2020-03-09 16:42:39,6,0,"Feather-free? Yes, please!

These sleek, cozy, and 100% #vegan winter coats will keep you compassionate and warm all season long! https://t.co/IcaBlRcUd3"
3230648830,VeganAdvocate Ⓥ,Earth (until we destroy it),4899,2020-03-09 16:42:37,4,0,"🐥Celebrate this Easter with these @moofree cruelty- free Easter eggs!  🌱🌍🍫We have these and much more treats &amp; goodies on our shop! #vegan #easteregg

Help support our life-saving campaigns by shopping with us at https://t.co/Wnv3eXMoEx https://t.co/1dFrmgc1sy"
295575681,Nureen Glaves,London,207,2020-03-09 16:42:34,0,0,"https://t.co/y1M8vRxdBf I cant wait to start our #VegAdvocate programme soon 
#harmonyhall #HowToBeASmartFoodAShopper #MealPrep #teamwork #Veg #Vegan https://t.co/hbORiNrnao"
3230648830,VeganAdvocate Ⓥ,Earth (until we destroy it),4899,2020-03-09 16:42:32,2,0,"#Repost 😋Delicious protein pancakes using our #22DaysPlantProtein!! Thank you for sharing @mayelasjourney
.⁠
.
.
.
.
.
#22daysnutrition #health #cleaneating #breakfast #smoothies #vegan #healthy #superfoods #nutrition #organic https://t.co/I8hZKUJmdX"
